URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,182,Beach 60th St,POINT,-73.78852,40.59
http://web.mta.info/nyct/service/,183,Beach 98th St,POINT,-73.82052,40.59
http://web.mta.info/nyct/service/,184,Rockaway Park - Beach 116 St,POINT,-73.83559,40.58
http://web.mta.info/nyct/service/,185,Beach 36th St,POINT,-73.76817,40.6
http://web.mta.info/nyct/service/,186,Beach 25th St,POINT,-73.76135,40.6
http://web.mta.info/nyct/service/,187,Parsons Blvd,POINT,-73.80329,40.71
http://web.mta.info/nyct/service/,188,169th St,POINT,-73.79347,40.71
http://web.mta.info/nyct/service/,189,103rd St - Corona Plaza,POINT,-73.8627,40.75
http://web.mta.info/nyct/service/,190,111th St,POINT,-73.85533,40.75
http://web.mta.info/nyct/service/,191,63rd Dr - Rego Park,POINT,-73.86162,40.73
http://web.mta.info/nyct/service/,192,Grant Ave,POINT,-73.86505,40.68
http://web.mta.info/nyct/service/,193,79th St,POINT,-73.97992,40.78
http://web.mta.info/nyct/service/,194,Atlantic Ave,POINT,-73.9031,40.68
http://web.mta.info/nyct/service/,195,Christopher St - Sheridan Sq,POINT,-74.00291,40.73
http://web.mta.info/nyct/service/,196,Ozone Park - Lefferts Blvd,POINT,-73.8258,40.69
http://web.mta.info/nyct/service/,197,Times Sq - 42nd St,POINT,-73.98769,40.76
http://web.mta.info/nyct/service/,198,W 8th St - NY Aquarium,POINT,-73.97596,40.58
http://web.mta.info/nyct/service/,199,28th St,POINT,-73.99337,40.75
http://web.mta.info/nyct/service/,200,28th St,POINT,-73.98426,40.74
http://web.mta.info/nyct/service/,201,Pelham Bay Park,POINT,-73.82812,40.85
http://web.mta.info/nyct/service/,202,Westchester Sq - E Tremont Ave,POINT,-73.84295,40.84
http://web.mta.info/nyct/service/,203,18th St,POINT,-73.99787,40.74
http://web.mta.info/nyct/service/,204,Grand Central - 42nd St,POINT,-73.97604,40.75
http://web.mta.info/nyct/service/,205,Beach 67th St,POINT,-73.79692,40.59
http://web.mta.info/nyct/service/,206,W 4th St - Washington Sq (Upper),POINT,-74.0005,40.73
http://web.mta.info/nyct/service/,207,85th St - Forest Pky,POINT,-73.86009,40.69
http://web.mta.info/nyct/service/,208,Woodhaven Blvd,POINT,-73.85205,40.69
http://web.mta.info/nyct/service/,209,111th St,POINT,-73.83679,40.7
http://web.mta.info/nyct/service/,210,121st St,POINT,-73.82835,40.7
http://web.mta.info/nyct/service/,211,Halsey St,POINT,-73.90393,40.7
http://web.mta.info/nyct/service/,212,Myrtle - Wyckoff Aves,POINT,-73.91098,40.7
http://web.mta.info/nyct/service/,213,New Lots Ave,POINT,-73.88411,40.67
